ExperimentName;Subject;Session;Clock.Information;DataFile.Basename;Display.RefreshRate;ExperimentVersion;Group;Name;RandomSeed;RuntimeVersion;RuntimeVersionExpected;SessionDate;SessionStartDateTimeUtc;SessionTime;StudioVersion;SyncEprimeKinB1.ACC;SyncEprimeKinB1.CRESP;SyncEprimeKinB1.DurationError;SyncEprimeKinB1.OnsetDelay;SyncEprimeKinB1.OnsetTime;SyncEprimeKinB1.OnsetToOnsetTime;SyncEprimeKinB1.RESP;SyncEprimeKinB1.RT;SyncEprimeKinB1.RTTime;Block;BlockINT_0Fischi_1Suoni;BlockList;BlockList.Cycle;BlockList.Sample;ContatoreSuoni;NumSuono;Procedure[Block];Running[Block];Suonilist;SuonoFinSoglia;SyncEprimeKinFischi1.ACC;SyncEprimeKinFischi1.CRESP;SyncEprimeKinFischi1.DurationError;SyncEprimeKinFischi1.OnsetDelay;SyncEprimeKinFischi1.OnsetTime;SyncEprimeKinFischi1.OnsetToOnsetTime;SyncEprimeKinFischi1.RESP;SyncEprimeKinFischi1.RT;SyncEprimeKinFischi1.RTTime;Trial;ListBlockFischi;ListBlockFischi.Cycle;ListBlockFischi.Sample;Procedure[Trial];Running[Trial];SubTrial;AccSogg1;Avatar_Giu1_Su2;CatchTrial_CORR;ContatoreFinestraSoglia;CorrectResponse;File_Name;FinestraSoglia;IdcondEEG;Istruzione;KeySoggetto1;KeySoggetto2;ListFischi1;ListFischi1.Cycle;ListFischi1.Sample;NumeroSuono;OP_UG;Procedure[SubTrial];Resoconto.RT;RTChange;RTimage;RTNetto;RTSubj;RTTouch;Running[SubTrial];StartGo.ACC;StartGo.CRESP;StartGo.DurationError;StartGo.OnsetDelay;StartGo.OnsetTime;StartGo.OnsetToOnsetTime;StartGo.RESP;StartGo.RT;StartGo.RTTime;StartSoggetto1;StartSoggetto2;StopSoggetto1;StopSoggetto2;StopTrial.RT;tempo;TMSoggetto1;ValiditaTrial;Vincitore
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;1;1;1;1;0;3;Pomod_B;250;2;op;3;2;47;1;1;2;0;TrialProc;1171;1349;Pomod_B;255;1977;1722;ListFischi1;0;;5;210;40758;23;13;2002;42760;658;1;2002;1;677;442;1344;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;2;1;2;0;0;5;Pr4_B;250;1;op;5;2;13;1;2;1;0;TrialProc;713;693;Pr4_B;289;1555;1267;ListFischi1;0;;1;207;47734;17;15;1586;49320;386;1;1586;1;407;462;1200;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;3;1;1;0;0;5;Po8_B;250;4;ug;5;2;53;1;3;4;1;TrialProc;720;1263;Po8_B;138;1734;1595;ListFischi1;0;;2;203;54694;15;15;1762;56456;354;1;1762;1;525;311;1408;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;4;1;1;0;0;5;Po2_B;225;4;ug;5;2;59;1;4;4;1;TrialProc;649;1590;Po2_B;89;1728;1817;ListFischi1;0;;3;201;62230;9;15;1762;63992;226;1;1762;1;1014;561;1536;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;5;1;2;0;1;5;Pr3_B;250;1;op;5;2;2;1;5;1;0;TrialProc;1006;728;Pr3_B;179;1908;1728;ListFischi1;0;;2;203;69970;13;15;1942;71912;502;1;1942;1;1617;324;1440;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;6;1;2;0;0;5;Pr2_B;225;1;op;5;2;11;1;6;1;0;TrialProc;738;730;Pr2_B;423;1687;1264;ListFischi1;0;;3;201;77232;15;15;1720;78952;295;1;1720;1;715;437;1425;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;7;1;1;0;0;5;Po2_B;200;4;ug;5;2;54;1;7;4;1;TrialProc;832;1599;Po2_B;73;1900;1826;ListFischi1;0;;2;203;85920;17;15;1927;87847;361;1;1927;1;1145;220;1566;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;8;1;1;0;0;5;Po3_B;175;4;ug;5;2;50;1;8;4;1;TrialProc;905;1329;Po3_B;69;1664;1594;ListFischi1;0;;2;203;93761;13;15;1686;95447;342;1;1686;1;929;492;1344;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;9;1;2;0;0;3;Pr5_B;250;3;ug;3;2;30;1;9;3;1;TrialProc;711;682;Pr5_B;367;1649;1281;ListFischi1;0;;2;201;101418;6;13;1677;103095;333;1;1677;1;469;583;1344;1;1
TMS_Ibrahim;58;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">25298006776</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-07-18T09:06:15Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-58-1;75.028;1.0.0.561;1;;-471126863;2.0.10.242;2.0.10.242;07-18-2023;18/07/2023 09:06;11:06:16;2.0.10.147;0;;-999999;25;29895;0;1;3489;33384;1;1;1;2;1;1;1;BlockProcFischi;BlockList;1;150;0;;-999999;33;36218;0;1;1333;37551;1;1;1;1;ProcFischi1;ListBlockFischi;10;1;1;0;0;5;Po4_B;150;4;ug;5;2;51;1;10;4;1;TrialProc;611;1355;Po4_B;101;1627;1728;ListFischi1;0;;2;203;108662;13;15;1649;110311;433;1;1649;1;987;447;1216;1;1
