ExperimentName;Subject;Session;Clock.Information;DataFile.Basename;Display.RefreshRate;ExperimentVersion;Group;Name;RandomSeed;RuntimeVersion;RuntimeVersionExpected;SessionDate;SessionStartDateTimeUtc;SessionTime;StudioVersion;SyncEprimeKinB1.ACC;SyncEprimeKinB1.CRESP;SyncEprimeKinB1.DurationError;SyncEprimeKinB1.OnsetDelay;SyncEprimeKinB1.OnsetTime;SyncEprimeKinB1.OnsetToOnsetTime;SyncEprimeKinB1.RESP;SyncEprimeKinB1.RT;SyncEprimeKinB1.RTTime;Block;BlockINT_0Fischi_1Suoni;BlockList;BlockList.Cycle;BlockList.Sample;ContatoreSuoni;NumSuono;Procedure[Block];Running[Block];Suonilist;SuonoFinSoglia;SyncEprimeKinFischi1.ACC;SyncEprimeKinFischi1.CRESP;SyncEprimeKinFischi1.DurationError;SyncEprimeKinFischi1.OnsetDelay;SyncEprimeKinFischi1.OnsetTime;SyncEprimeKinFischi1.OnsetToOnsetTime;SyncEprimeKinFischi1.RESP;SyncEprimeKinFischi1.RT;SyncEprimeKinFischi1.RTTime;Trial;ListBlockFischi;ListBlockFischi.Cycle;ListBlockFischi.Sample;Procedure[Trial];Running[Trial];SubTrial;AccSogg1;Avatar_Giu1_Su2;CatchTrial_CORR;ContatoreFinestraSoglia;CorrectResponse;File_Name;FinestraSoglia;IdcondEEG;Istruzione;KeySoggetto1;KeySoggetto2;ListFischi1;ListFischi1.Cycle;ListFischi1.Sample;NumeroSuono;OP_UG;Procedure[SubTrial];Resoconto.RT;RTChange;RTimage;RTNetto;RTSubj;RTTouch;Running[SubTrial];StartGo.ACC;StartGo.CRESP;StartGo.DurationError;StartGo.OnsetDelay;StartGo.OnsetTime;StartGo.OnsetToOnsetTime;StartGo.RESP;StartGo.RT;StartGo.RTTime;StartSoggetto1;StartSoggetto2;StopSoggetto1;StopSoggetto2;StopTrial.RT;tempo;TMSoggetto1;ValiditaTrial;Vincitore
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;1;0;1;0;0;3;Po4_B;;2;op;1;2;45;1;1;2;0;TrialProc;971;1368;Po4_B;221;1503;1741;ListFischi1;0;;5;210;93881;25;15;2332;96213;667;1;1;1;515;496;-666;1;0
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;2;1;1;0;0;5;Po5_B;250;4;ug;5;2;62;1;2;4;1;TrialProc;754;988;Po5_B;93;1388;1481;ListFischi1;0;;2;204;102620;16;15;1416;104036;344;1;1416;1;476;380;1072;1;1
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;3;1;1;0;0;5;Po8_B;225;4;ug;5;2;58;1;3;4;1;TrialProc;555;1250;Po8_B;170;1414;1584;ListFischi1;0;;2;201;109889;10;15;1443;111332;147;1;1443;1;588;419;1296;1;1
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;4;1;2;0;0;5;Pr3_B;250;1;op;5;2;2;1;4;1;0;TrialProc;499;714;Pr3_B;28;1687;1715;ListFischi1;0;;2;203;117328;8;155;1907;119235;292;1;1715;1;491;489;1423;1;1
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;5;1;1;0;0;3;Po5_B;250;2;op;3;2;41;1;5;2;0;TrialProc;609;982;Po5_B;43;1434;1477;ListFischi1;0;;2;203;124564;10;13;1455;126019;175;1;1455;1;468;488;1280;1;1
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;6;1;2;0;0;3;Pr4_B;250;3;ug;3;2;29;1;6;3;1;TrialProc;539;683;Pr4_B;267;1522;1256;ListFischi1;0;;2;201;132008;16;13;1547;133555;123;1;1547;1;441;418;1424;1;1
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;7;1;2;0;0;5;Pr4_B;225;1;op;5;2;13;1;7;1;0;TrialProc;492;678;Pr4_B;69;1320;1251;ListFischi1;0;;2;203;139049;12;15;1354;140403;234;1;1354;1;914;276;1120;1;1
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;8;1;1;0;0;5;Po4_B;200;4;ug;5;2;56;1;8;4;1;TrialProc;514;1348;Po4_B;99;1622;1722;ListFischi1;0;;2;201;146203;15;155;3239;149442;231;1;1655;1;1071;493;1424;1;1
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;9;1;1;1;0;3;Pomod_B;225;2;op;3;2;48;1;9;2;0;TrialProc;456;6000;Pomod_B;191;6000;6000;ListFischi1;0;;2;203;152124;12;13;1894;154018;374;1;1894;1;360;245;1520;1;1
TMS_Ibrahim;51;1;"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312890</Frequency><Timestamp dt:dt=""r8"">23079292456</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-04-04T14:48:23Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n";TMS_Ibrahim-51-1;75.030;1.0.0.561;1;;1605101662;2.0.10.242;2.0.10.242;04/04/2023;04/04/2023 14:48;16:48:23;2.0.10.147;0;;-999999;44;88662;0;1;2240;90902;1;1;1;2;1;0;1;BlockProcFischi;BlockList;1;125;0;;-999999;32;91912;0;1;441;92353;1;1;1;1;ProcFischi1;ListBlockFischi;10;1;1;0;0;5;Po4_B;175;4;ug;5;2;51;1;10;4;1;TrialProc;476;1344;Po4_B;218;1499;1717;ListFischi1;0;;2;201;158963;10;15;1519;160482;255;1;1519;1;446;346;1264;1;1
